web_scraper_order,web_scraper_start_url,nom,prix,adresse,conteneur,image_lien
"1772319356-80","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","135 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3173381",""
"1772319357-1","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","235 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-2496283","https://images.coinafrique.com/thumb_4252367_uploaded_image1_1686511140.jpg"
"1772319358-81","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","200 000 CFA","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3173505",""
"1772319360-2","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-2496577","https://images.coinafrique.com/thumb_4840583_uploaded_image1_1720818332.jpg"
"1772319361-82","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton femelle","250 000 CFA","Kaolack, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-3174378",""
"1772319362-3","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-2496594","https://images.coinafrique.com/thumb_4840583_uploaded_image1_1720818332.jpg"
"1772319363-83","https://sn.coinafrique.com/categorie/moutons?page=8","Moutons","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-3174605",""
"1772319364-4","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","200 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-2497126","https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg"
"1772319365-84","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3175573",""
"1772319367-5","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","Prix sur demande","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-2501403","https://images.coinafrique.com/thumb_4787368_uploaded_image1_1717940799.jpg"
"1772319368-85","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","350 000 CFA","Medina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3177016",""
"1772319369-6","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","375 000 CFA","Medina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2513524","https://images.coinafrique.com/thumb_5334036_uploaded_image1_1747578346.jpg"
"1772319370-86","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","200 000 CFA","Medina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3177020",""
"1772319371-7","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","900 000 CFA","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2523326","https://images.coinafrique.com/thumb_3451581_uploaded_image1_1637700430.jpg"
"1772319373-87","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","220 000 CFA","Bambey, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3177877",""
"1772319374-8","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","155 000 CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-2541479","https://images.coinafrique.com/thumb_5416626_uploaded_image1_1752150844.jpg"
"1772319375-88","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3178152",""
"1772319376-9","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Azawat","200 000 CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawat-2542938","https://images.coinafrique.com/thumb_2885448_uploaded_image1_1610450831.jpg"
"1772319377-89","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","1 750 000 CFA","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3178805",""
"1772319378-10","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Azawat","200 000 CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawat-2542950","https://images.coinafrique.com/thumb_2885448_uploaded_image1_1610450831.jpg"
"1772319380-90","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","Prix sur demande","Tambacounda, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3179150",""
"1772319381-11","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","20 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-2547237","https://images.coinafrique.com/thumb_5337516_uploaded_image1_1747772137.jpg"
"1772319382-91","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","170 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3179224",""
"1772319383-12","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Azawat","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawat-2557732","https://images.coinafrique.com/thumb_4060011_uploaded_image1_1674334569.jpg"
"1772319384-92","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","200 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3179230",""
"1772319386-13","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","Prix sur demande","Ziguinchor, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-2566400","https://images.coinafrique.com/thumb_2566400_uploaded_image1_1598095170.jpg"
"1772319387-93","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","90 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3179234",""
"1772319388-14","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-2572412","https://images.coinafrique.com/thumb_4252367_uploaded_image1_1686511140.jpg"
"1772319389-94","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","375 000 CFA","Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3179377",""
"1772319391-15","https://sn.coinafrique.com/categorie/moutons?page=10","Mâle ladoum","5 000 000 CFA","Rufisque, Sénégal","https://sn.coinafrique.com/annonce/moutons/male-ladoum-2586236","https://images.coinafrique.com/thumb_5026510_uploaded_image1_1730734414.jpg"
"1772319391-95","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","350 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3180224",""
"1772319393-16","https://sn.coinafrique.com/categorie/moutons?page=10","Femelle Ladoum","200 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-2604229","https://images.coinafrique.com/thumb_3695058_uploaded_image2_1652473213.jpeg"
"1772319394-96","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton Métisse Ladoum","250 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-metisse-ladoum-3180227",""
"1772319395-17","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","700 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2608018","https://images.coinafrique.com/thumb_5630102_uploaded_image1_1763563551.jpg"
"1772319397-97","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton de Tabaski","110 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-3180230",""
"1772319398-18","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","290 000 CFA","Medina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2623905","https://images.coinafrique.com/thumb_5334036_uploaded_image1_1747578346.jpg"
"1772319399-98","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton de tabaski","200 CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-3181349",""
"1772319400-19","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","1 000 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2624094","https://images.coinafrique.com/thumb_4773721_uploaded_image1_1717238496.jpg"
"1772319402-20","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton azawat","300 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawat-2628137","https://images.coinafrique.com/thumb_4060011_uploaded_image1_1674334569.jpg"
"1772319402-99","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton de tabaski","200 CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-3181418",""
"1772319404-100","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","450 000 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3181577",""
"1772319405-21","https://sn.coinafrique.com/categorie/moutons?page=10","Ladoum","1 700 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-2628237","https://images.coinafrique.com/thumb_4948067_uploaded_image1_1726569636.jpg"
"1772319406-101","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","300 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3182105",""
"1772319407-22","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton ladoum pur-sang","350 000 CFA","Pikine, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-pur-sang-2636994","https://images.coinafrique.com/thumb_3279053_uploaded_image1_1628891604.jpg"
"1772319409-23","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","650 000 CFA","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-2637096","https://images.coinafrique.com/thumb_4264167_uploaded_image1_1687307074.jpg"
"1772319409-102","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","260 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3182484",""
"1772319411-103","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","160 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3182534",""
"1772319412-24","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton ladoum pur sang","4 000 000 CFA","Mbour, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-pur-sang-2638276","https://images.coinafrique.com/thumb_3657180_uploaded_image3_1650144422.jpeg"
"1772319414-25","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","850 000 CFA","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-2638675","https://images.coinafrique.com/thumb_4264167_uploaded_image1_1687307074.jpg"
"1772319414-104","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3182701",""
"1772319416-105","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","230 000 CFA","Diourbel, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3182889",""
"1772319417-26","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton métisse Ladoum Azawat","175 000 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-metisse-ladoum-azawat-2639328","https://images.coinafrique.com/thumb_2639328_uploaded_image1_1600604046.jpg"
"1772319418-106","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton femelle Ladoum","400 000 CFA","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-ladoum-3183165",""
"1772319419-27","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Azawat pur sang","1 000 000 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawat-pur-sang-2645562","https://images.coinafrique.com/thumb_2645562_uploaded_image1_1600821694.jpg"
"1772319421-28","https://sn.coinafrique.com/categorie/moutons?page=10","Azawat pur sang","1 200 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/azawat-pur-sang-2645571","https://images.coinafrique.com/thumb_3503706_uploaded_image1_1640971116.jpg"
"1772319421-107","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton  Ladoum","400 000 CFA","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3183168",""
"1772319423-108","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","270 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3184064",""
"1772319424-29","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton asawat et femelle ladoum","Prix sur demande","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-asawat-et-femelle-ladoum-2648435","https://images.coinafrique.com/thumb_2648435_uploaded_image1_1600940186.jpg"
"1772319425-109","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","900 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3185046",""
"1772319427-30","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","690 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2664213","https://images.coinafrique.com/thumb_4252367_uploaded_image1_1686511140.jpg"
"1772319428-110","https://sn.coinafrique.com/categorie/moutons?page=8","Moutons","300 000 CFA","Thies, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-3185715",""
"1772319429-31","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","500 000 CFA","Fatick, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2665289","https://images.coinafrique.com/thumb_2665289_uploaded_image1_1601598363.jpg"
"1772319430-111","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","110 000 CFA","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3186295",""
"1772319431-32","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton ladoum","450 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2667623","https://images.coinafrique.com/thumb_5630102_uploaded_image1_1763563551.jpg"
"1772319432-112","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","380 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3187248",""
"1772319434-33","https://sn.coinafrique.com/categorie/moutons?page=10","Ladoum","2 000 000 CFA","Patte d'oie, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-2671450","https://images.coinafrique.com/thumb_3221082_uploaded_image1_1625930320.jpg"
"1772319435-113","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton Ladoum","380 000 CFA","Mbour, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3187256",""
"1772319436-34","https://sn.coinafrique.com/categorie/moutons?page=10","Ladoum","Prix sur demande","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-2671460","https://images.coinafrique.com/thumb_4061084_uploaded_image1_1674422780.jpg"
"1772319437-114","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","350 000 CFA","Diourbel, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3188982",""
"1772319438-35","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton femelle ladoum","Prix sur demande","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-ladoum-2671562","https://images.coinafrique.com/thumb_4061084_uploaded_image1_1674422780.jpg"
"1772319439-115","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton Ladoum","850 000 CFA","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3190361",""
"1772319441-36","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","450 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2671636","https://images.coinafrique.com/thumb_5144166_uploaded_image1_1737393386.jpg"
"1772319442-116","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton Ladoum","750 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3191637",""
"1772319443-37","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","850 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-2671650","https://images.coinafrique.com/thumb_5337516_uploaded_image1_1747772137.jpg"
"1772319444-117","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","300 000 CFA","Kaolack, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3191774",""
"1772319446-38","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Anaux","400 000 CFA","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-anaux-2675861","https://images.coinafrique.com/thumb_2675861_uploaded_image1_1601992787.jpg"
"1772319446-118","https://sn.coinafrique.com/categorie/moutons?page=8","Moutons","135 000 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-3191902",""
"1772319448-39","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum pur sang","400 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-pur-sang-2703872","https://images.coinafrique.com/thumb_3265343_uploaded_image1_1628217266.jpg"
"1772319449-119","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","165 000 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3191908",""
"1772319450-40","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum Pur sang","750 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-pur-sang-2704105","https://images.coinafrique.com/thumb_3940258_uploaded_image1_1667000243.jpg"
"1772319451-120","https://sn.coinafrique.com/categorie/moutons?page=8","Moutons","200 000 CFA","Bambey, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-3192678",""
"1772319453-41","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","2 500 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2705668","https://images.coinafrique.com/thumb_4773721_uploaded_image1_1717238496.jpg"
"1772319453-121","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton ladoum","500 000 CFA","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3193054",""
"1772319455-42","https://sn.coinafrique.com/categorie/moutons?page=10","Ladoum pur sang","Prix sur demande","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-2723147","https://images.coinafrique.com/thumb_4198188_uploaded_image1_1683021884.jpg"
"1772319456-122","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton Ladoum","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3193500",""
"1772319457-43","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoume couple","1 750 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoume-couple-2735066","https://images.coinafrique.com/thumb_2735066_uploaded_image1_1604415830.jpg"
"1772319458-123","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","110 000 CFA","Medina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3193581",""
"1772319460-44","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoume","Prix sur demande","Kaolack, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoume-2735067","https://images.coinafrique.com/thumb_3705520_uploaded_image1_1653135164.jpg"
"1772319461-124","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton ladoume","6 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoume-3194082",""
"1772319462-45","https://sn.coinafrique.com/categorie/moutons?page=10","Couple mouton","1 750 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/couple-mouton-2735771","https://images.coinafrique.com/thumb_2735771_uploaded_image1_1604430779.jpg"
"1772319463-125","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3194149",""
"1772319464-46","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","1 700 000 CFA","Ouest Foire, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-2736437","https://images.coinafrique.com/thumb_4787368_uploaded_image1_1717940799.jpg"
"1772319465-126","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton tabaski","150 000 CFA","Ouakam, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-tabaski-3194403",""
"1772319467-47","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","425 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-2746543","https://images.coinafrique.com/thumb_5288288_uploaded_image1_1744995144.jpg"
"1772319468-127","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton Azawatt","275 000 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawatt-3194610",""
"1772319469-48","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-2765872","https://images.coinafrique.com/thumb_2765872_uploaded_image1_1605534766.jpg"
"1772319470-128","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","225 000 CFA","Bambey, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3195290",""
"1772319471-49","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton femelle","765 809 243 CFA","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-2765878","https://images.coinafrique.com/thumb_5200965_uploaded_image1_1740410729.jpg"
"1772319472-129","https://sn.coinafrique.com/categorie/moutons?page=8","Ladoum femelle","4 000 000 CFA","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-femelle-3196019",""
"1772319474-50","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","5 000 000 CFA","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-2779632","https://images.coinafrique.com/thumb_4264167_uploaded_image1_1687307074.jpg"
"1772319475-130","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","350 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3196466",""
"1772319476-51","https://sn.coinafrique.com/categorie/moutons?page=10","Femelles ladoum","275 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femelles-ladoum-2781792","https://images.coinafrique.com/thumb_2781792_uploaded_image1_1606140774.jpg"
"1772319477-131","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","250 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3196624",""
"1772319478-52","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton ladoum","1 000 000 CFA","Kébémer, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2789110","https://images.coinafrique.com/thumb_2789124_uploaded_image1_1606398488.jpg"
"1772319479-132","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","170 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3196628",""
"1772319481-53","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","1 500 000 CFA","Kébémer, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2789124","https://images.coinafrique.com/thumb_2789124_uploaded_image1_1606398488.jpg"
"1772319482-133","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","150 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3196963",""
"1772319483-54","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","400 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-2795474","https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg"
"1772319484-134","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","Prix sur demande","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3198206",""
"1772319486-55","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","750 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2795953","https://images.coinafrique.com/thumb_5630102_uploaded_image1_1763563551.jpg"
"1772319487-135","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton Ladoum","400 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3198242",""
"1772319488-56","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","8 500 000 CFA","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2796870","https://images.coinafrique.com/thumb_4198188_uploaded_image1_1683021884.jpg"
"1772319489-136","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","250 000 CFA","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3198550",""
"1772319490-57","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton mâle fils - pur sang","600 000 CFA","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-male-fils-pur-sang-2811883",""
"1772319491-137","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","200 000 CFA","Bambey, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3198633",""
"1772319493-58","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","650 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-2829249","https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg"
"1772319494-138","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","190 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3198836",""
"1772319495-59","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton Ladoum","475 000 CFA","Pikine, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-2836401","https://images.coinafrique.com/thumb_5561288_uploaded_image1_1759765735.jpg"
"1772319496-139","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","180 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3198840",""
"1772319497-60","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","200 000 CFA","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-2840303","https://images.coinafrique.com/thumb_5362037_uploaded_image1_1749137690.jpg"
"1772319498-140","https://sn.coinafrique.com/categorie/moutons?page=8","Mouton","400 000 CFA","Mbour, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3198958",""
