web_scraper_order,web_scraper_start_url,nom,prix,adresse,conteneur,image_lien
"1772320451-453","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton ladoum","1 200 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3899374",""
"1772320452-367","https://sn.coinafrique.com/categorie/moutons?page=6","Agneau","100 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/agneau-3454236","https://images.coinafrique.com/thumb_3454236_uploaded_image1_1637855237.jpg"
"1772320454-368","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton","250 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3454257","https://images.coinafrique.com/thumb_5334872_uploaded_image1_1747644353.jpg"
"1772320454-454","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton","150 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3936799",""
"1772320456-369","https://sn.coinafrique.com/categorie/moutons?page=6","Moutons","50 000 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-3456563","https://images.coinafrique.com/thumb_5334872_uploaded_image1_1747644353.jpg"
"1772320456-455","https://sn.coinafrique.com/categorie/moutons?page=4","Bélier","150 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/belier-3936807",""
"1772320458-456","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton Ladoum","800 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3940256",""
"1772320459-370","https://sn.coinafrique.com/categorie/moutons?page=6","Moutons","300 CFA","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-3456566","https://images.coinafrique.com/thumb_5334872_uploaded_image1_1747644353.jpg"
"1772320460-457","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton","375 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3940258",""
"1772320461-371","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton Azawate","350 000 CFA","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawate-3486760","https://images.coinafrique.com/thumb_3486760_uploaded_image1_1639660650.jpg"
