nom,prix,adresse,image_lien
Chaton,Prix sur demande,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4365267_uploaded_image1_1694000653.jpg
Taureau,320 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4335558_uploaded_image1_1692061499.jpg
Chaton Gimalayen Siamois,250 000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4333502_uploaded_image1_1691932427.jpg
Perruches ondulées,20 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331659_uploaded_image1_1691773285.jpg
Perroquets,60 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331654_uploaded_image1_1691772808.jpg
Cailles de chair,500CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4327166_uploaded_image1_1691508551.jpg
Poussins d'autruche,50 000CFA,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4292496_uploaded_image1_1689236421.jpg
Chat tigré,60 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4290090_uploaded_image1_1689085062.jpg
Chat tigré,60 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4290086_uploaded_image1_1689084975.jpg
Canard ,30 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4251761_uploaded_image1_1686479149.jpg
Autruche,40 000CFA,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4274068_uploaded_image1_1688027259.jpg
Chatons persans chinchilla golden shaded,500 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268926_uploaded_image1_1687601650.jpg
Chat persan chinchilla blue golden shaded,650 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268866_uploaded_image1_1687597344.jpg
Chat persan chinchilla golden shaded,500 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268857_uploaded_image1_1687596952.jpg
Perruches ondulées ,20 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268218_uploaded_image1_1687536623.jpg
Oies,45 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4263743_uploaded_image1_1687283716.jpg
Poissons aquariums,7 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4258053_uploaded_image1_1686843939.jpg
Chaton,Prix sur demande,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4254477_uploaded_image1_1686653757.jpg
Paon,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4250701_uploaded_image1_1686389684.jpg
Perruche ,30 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4236158_uploaded_image1_1685471000.jpg
Paon ,400CFA,"Touba, Sénégal",https://images.coinafrique.com/thumb_4226444_uploaded_image1_1684797786.jpg
Poussins bleus hollandais,1 500CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4223952_uploaded_image1_1684611180.jpg
Chaton Siamois Himalayen,275 000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4215680_uploaded_image1_1684074328.jpg
Poissons aquarium,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4213007_uploaded_image1_1683888858.jpg
Cailles,7 000CFA,"Touba, Sénégal",https://images.coinafrique.com/thumb_4208226_uploaded_image1_1683592423.jpg
Boeuf,600 000CFA,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4196106_uploaded_image1_1682881461.jpg
Perruches,30 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194617_uploaded_image1_1682759209.jpg
Perroquet,35 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4185842_uploaded_image1_1682102205.jpg
Couple de perruches ,14 900CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4180902_uploaded_image1_1681767382.jpg
Chaton siamois ,240 000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4180282_uploaded_image1_1681738114.jpg
Dinde,45 000CFA,"Touba, Sénégal",https://images.coinafrique.com/thumb_4170236_uploaded_image1_1681079402.jpg
Dindes,100 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4169875_uploaded_image1_1681057517.jpg
Dindes ,100 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4169870_uploaded_image1_1681057188.jpg
Hamster doré ,Prix sur demande,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4169247_uploaded_image1_1680993460.jpg
Perroquet ,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg
Canard colvert,32 500CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4141195_uploaded_image1_1679311407.jpg
Chatte persane himalayenne ,200 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4140736_uploaded_image1_1679260998.jpg
Oies,35 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4119270_uploaded_image2_1677889884.jpeg
Hamster dorée,15 000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4110101_uploaded_image1_1677403384.jpg
Chèvre sahelienne,180 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4103018_uploaded_image1_1676929679.jpg
Chats siamois himalayen,300 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4102440_uploaded_image1_1676904996.jpg
Chaton angora,180 000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4102298_uploaded_image1_1676900131.jpg
Cheval,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4092862_uploaded_image1_1676283623.jpg
Bœuf,600 000CFA,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4090572_uploaded_image1_1676111755.jpg
Oies ,65 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4064457_uploaded_image1_1674641302.jpg
Dinde,50 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4060300_uploaded_image1_1674362008.jpg
Canards ,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4056116_uploaded_image1_1674103896.jpg
Dindons ,175 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4056115_uploaded_image1_1674103633.jpg
Perruches ondulées,7 000CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4049517_uploaded_image1_1673696813.jpg
Boeuf,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4047285_uploaded_image1_1673554118.jpg
Oies de garde  ,200 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4033376_uploaded_image1_1672817271.jpg
Cheval,450 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4029054_uploaded_image1_1672496527.jpg
Jument,550 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4029052_uploaded_image1_1672496436.jpg
Vache,475CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4015081_uploaded_image1_1671456683.jpg
Perroquets Roseicollis,50 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4006084_uploaded_image1_1670879833.jpg
Chaton Persan,400 000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4004300_uploaded_image1_1670782309.jpg
Chat persan hymalayen,350 000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4002094_uploaded_image1_1670612752.jpg
Bœufs,600 000CFA,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4001249_uploaded_image1_1670577657.jpg
Bœufs,600 000CFA,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3991901_uploaded_image1_1670076562.jpg
Chèvre,50 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3985611_uploaded_image1_1669761997.jpg
Perruches ondulées,12 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3968286_uploaded_image1_1668632770.jpg
Paon,450 000CFA,"Touba, Sénégal",https://images.coinafrique.com/thumb_3956247_uploaded_image2_1667916424.jpeg
Dinde ,35 000CFA,"Touba, Sénégal",https://images.coinafrique.com/thumb_3956243_uploaded_image1_1667916312.jpg
Poissons aquarium,7 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3922652_uploaded_image1_1665918281.jpg
Anes,500 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3916725_uploaded_image1_1665569939.jpg
Bœuf,700 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3916720_uploaded_image1_1665569801.jpg
Paons bleus,400 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3916692_uploaded_image1_1665568760.jpg
Chaton Scottish Fold,Prix sur demande,"Fann-Point E-Amitié, Dakar, Sénégal",https://images.coinafrique.com/thumb_3915043_uploaded_image1_1665477189.jpg
Cailles ,2 500CFA,"Ziguinchor, Sénégal",https://images.coinafrique.com/thumb_3905361_uploaded_image1_1664880986.jpg
Paon,50 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3901686_uploaded_image1_1664658095.jpg
Œufs ,9 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3862604_uploaded_image1_1662310160.jpg
Cobaye mâle,16 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_3868453_uploaded_image1_1662603701.jpg
Vache,65 000CFA,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3850590_uploaded_image1_1661716395.jpg
Bœuf,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3819174_uploaded_image1_1659877769.jpg
Bœuf,750 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3817866_uploaded_image1_1659784836.jpg
Hamster dorée,15 000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3814562_uploaded_image1_1659613355.jpg
Vache,1 000 000CFA,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3804681_uploaded_image1_1659094431.jpg
Peruche ondulée,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3803986_uploaded_image1_1659036881.jpg
Vache,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3798116_uploaded_image1_1658707333.jpg
Cailles,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3797181_uploaded_image1_1658618385.jpg
Veau,300 000CFA,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3784229_uploaded_image1_1657796861.jpg
Hamster,15 000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3780966_uploaded_image1_1657566627.jpg
Couple Hamster,45 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3779809_uploaded_image1_1657474571.jpg
Veaux,200 000CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_3775233_uploaded_image1_1657130525.jpg
Oiseaux exotiques,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3773129_uploaded_image1_1657027947.jpg
Paire Oie,130 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3763969_uploaded_image1_1656542478.jpg
Canard,Prix sur demande,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_3761752_uploaded_image1_1656414791.jpg
Sacs de foin - Ngogne,5 000CFA,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3747916_uploaded_image1_1655548507.jpg
Couple cochons d'inde ,25 000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3738425_uploaded_image1_1655026461.jpg
Vache  ,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3734952_uploaded_image1_1654795966.jpg
Oie,65 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3719072_uploaded_image1_1654007070.jpg
Perruches ondulées,12 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3693176_uploaded_image1_1652374886.jpg
Boeuf  ,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3691179_uploaded_image1_1652274956.jpg
Hamster  ,15 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3689324_uploaded_image1_1652181532.jpg
Paire colverts de Rouen,15 000CFA,"Mboro, Sénégal",https://images.coinafrique.com/thumb_3686752_uploaded_image1_1652029317.jpg
Chaton Angora,160 000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_3681874_uploaded_image1_1651750026.jpg
Caille,2 000CFA,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3679001_uploaded_image1_1651592167.jpg
Perroquet grand Haras,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3672216_uploaded_image2_1651097217.jpeg
Chaton siamois  ,375 000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_3671821_uploaded_image1_1651072649.jpg
Boeufs,900 000CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3651241_uploaded_image1_1649808275.jpg
Oie géant,450 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3646953_uploaded_image1_1649560934.jpg
Boeuf,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3645463_uploaded_image1_1649458129.jpg
Boeuf,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3645462_uploaded_image1_1649458078.jpg
Chaton Angora,130 000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_3634435_uploaded_image1_1648913898.jpg
Hamster ,15 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3615764_uploaded_image1_1647715657.jpg
Cochons,15 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3614166_uploaded_image1_1647608880.jpg
Taurillon laitier,1 000 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3613432_uploaded_image1_1647552342.jpg
Chatons ,400 000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_3613416_uploaded_image1_1647551529.jpg
Caille,8 000CFA,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3607957_uploaded_image1_1647266236.jpg
Poussin caille,500CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3576048_uploaded_image1_1645409801.jpg
Dinde mâle,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3575899_uploaded_image1_1645394898.jpg
Poussins  d’oies,35 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3569402_uploaded_image1_1644969388.jpg
Cheval,500 000CFA,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3569117_uploaded_image1_1644951974.jpg
Bœufs ,900 000CFA,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3544114_uploaded_image1_1643467299.jpg
Jeune cheval,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3526170_uploaded_image1_1642274663.jpg
Hamsters,15 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3525591_uploaded_image1_1642246209.jpg
Bouc Espagnol,150 000CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_3523752_uploaded_image1_1642113362.jpg
Cochon dinde,45 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_3520084_uploaded_image1_1641925340.jpg
Cochon dinde,45 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_3520078_uploaded_image1_1641925243.jpg
Cochon dinde,45 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_3520065_uploaded_image1_1641924846.jpg
Cheval  ,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3515231_uploaded_image1_1641645085.jpg
Chat persan chinchilla,Prix sur demande,"Fann-Point E-Amitié, Dakar, Sénégal",https://images.coinafrique.com/thumb_3515163_uploaded_image1_1641642618.jpg
Bœufs ,300 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3509381_uploaded_image1_1641354659.jpg
Hamster,15 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3502571_uploaded_image1_1640864798.jpg
Paon,350 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3500261_uploaded_image1_1640699224.jpg
Oies de toulouse,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3496368_uploaded_image2_1640341893.jpeg
Bœuf,900 000CFA,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3492877_uploaded_image1_1640096405.jpg
Dindes,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3474757_uploaded_image2_1638966967.jpeg
Chaton siamois,Prix sur demande,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_3450631_uploaded_image1_1637664547.jpg
Bœufs,Prix sur demande,"Louga, Sénégal",https://images.coinafrique.com/thumb_3448056_uploaded_image1_1637499860.jpg
Couple dinde rouge,90 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3425196_uploaded_image1_1636231334.jpg
Canards,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3422543_uploaded_image1_1636113502.jpg
Paire d'oie,100 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_3418166_uploaded_image1_1635935843.jpg
Oies de toulouse,450 000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3413662_uploaded_image1_1635765247.jpg
