web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien,conteneur
"1772319952-23","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Malinois","150 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5699953_uploaded_image1_1767376903.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4158059"
"1772319955-24","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots  Malinois","350 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4206429_uploaded_image1_1683473426.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4159449"
"1772319957-25","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots  Malinois","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5628892_uploaded_image1_1763507006.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4162884"
"1772319959-26","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Bichon","150 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5377145_uploaded_image1_1750084686.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4165184"
"1772319962-27","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots labrador","400 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4167214_uploaded_image1_1680870219.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-labrador-4167214"
"1772319964-28","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot  Caniche","300 000 CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_4169389_uploaded_image1_1681006575.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-caniche-4169389"
"1772319967-29","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Berger allemand","Prix sur demande","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4220216_uploaded_image1_1684354056.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4171222"
"1772319969-30","https://sn.coinafrique.com/categorie/chiens?page=5","Chiens berger allemand","200 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4172538_uploaded_image1_1681227060.jpg","https://sn.coinafrique.com/annonce/chiens/chiens-berger-allemand-4172538"
"1772319971-31","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot","150 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4853861_uploaded_image1_1721576301.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-4174428"
"1772319993-32","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Bichon Maltais","100 000 CFA","Sicap Liberté, Dakar, Sénégal","","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4178317"
"1772319997-33","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Malinois","200 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5699953_uploaded_image1_1767376903.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4186165"
"1772319999-34","https://sn.coinafrique.com/categorie/chiens?page=5","Chiens Labrador","Prix sur demande","Mbao, Dakar, Sénégal","","https://sn.coinafrique.com/annonce/chiens/chiens-labrador-4186378"
"1772320004-35","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot berger malinois","130 000 CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_4189681_uploaded_image1_1682428415.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-4189681"
"1772320006-36","https://sn.coinafrique.com/categorie/chiens?page=5","Chiens","150 000 CFA","Lac rose, Sénégal","https://images.coinafrique.com/thumb_4190505_uploaded_image1_1682468019.jpg","https://sn.coinafrique.com/annonce/chiens/chiens-4190505"
"1772320011-37","https://sn.coinafrique.com/categorie/chiens?page=5","Chienne malinois","300 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5124976_uploaded_image1_1736338081.jpg","https://sn.coinafrique.com/annonce/chiens/chienne-malinois-4192516"
"1772320013-38","https://sn.coinafrique.com/categorie/chiens?page=5","Chien","300 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5377145_uploaded_image1_1750084686.jpg","https://sn.coinafrique.com/annonce/chiens/chien-4198141"
"1772320016-39","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Allemand","150 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5563010_uploaded_image1_1759844917.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4203328"
"1772320018-40","https://sn.coinafrique.com/categorie/chiens?page=5","Chiens Berger Allemand","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4657472_uploaded_image1_1711294709.jpg","https://sn.coinafrique.com/annonce/chiens/chiens-berger-allemand-4203333"
"1772320020-41","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot  Allemand","600 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5563010_uploaded_image1_1759844917.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-allemand-4204043"
"1772320023-42","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Caniches","150 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4206419_uploaded_image1_1683473050.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-caniches-4206419"
"1772320025-43","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Allemand","150 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4206427_uploaded_image1_1683473206.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4206427"
"1772320027-44","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Belge","250 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4206429_uploaded_image1_1683473426.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-berger-belge-4206429"
"1772320030-45","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots berger allemand","175 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5491012_uploaded_image1_1756047419.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4209184"
"1772320032-46","https://sn.coinafrique.com/categorie/chiens?page=5","Chien","150 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5377145_uploaded_image1_1750084686.jpg","https://sn.coinafrique.com/annonce/chiens/chien-4216138"
